Country,Emissions_2023
Global Total,39023937.04
China,13259638.95
United States,4682039.41
India,2955181.68
European Union,2512067.78
Russia,2069502.01
Japan,944758.61
Iran,778802.3
International Shipping,706320.42
Indonesia,674535.94
Saudi Arabia,622913.6
Germany,582950.58
Canada,575011.96
South Korea,573535.66
International Aviation,491632.31
Mexico,487093.94
Brazil,479504.23
Turkey,438315.56
South Africa,397372.96
Australia,373616.42
Vietnam,372948.52
"Italy, San Marino and Holy See",305490.18
United Kingdom,302103.28
Poland,286906.78
Malaysia,283323.53
France and Monaco,282427.47
Taiwan,279847.35
Thailand,274160.05
Egypt,249331.85
Kazakhstan,239867.11
Spain and Andorra,217261.72
United Arab Emirates,205991.3
Pakistan,200510.13
Iraq,192908.24
Argentina,183778.42
Algeria,180357.65
Philippines,161288.34
Uzbekistan,137900.11
Ukraine,136197.95
Nigeria,127941.73
Qatar,127907.89
Bangladesh,124793.36
Netherlands,122872.05
Kuwait,111633.54
Colombia,100862.71
Oman,93094.19
Czech Republic,90512.8
Venezuela,84595.29
Belgium,84306.06
Chile,83999.23
Romania,70773.31
Morocco,69858.02
Turkmenistan,65987.68
North Korea,64274.51
Libya,61258.6
Israel and State of Palestine,61254.99
Austria,58815.13
Peru,58403.36
Singapore,57068.33
Serbia and Montenegro,56120.92
Belarus,54175.66
Greece,51674.0
Ecuador,45328.16
Norway,44065.2
Hungary,43825.23
Azerbaijan,42766.2
Bulgaria,39792.57
Bahrain,37425.57
Portugal,36171.35
New Zealand,35795.09
Sweden,35392.17
Slovakia,34861.57
Hong Kong,34672.84
Switzerland and Liechtenstein,34221.71
Myanmar,33368.37
Ireland,32482.58
Finland,32268.88
Tunisia,31497.46
Dominican Republic,31350.81
Angola,28229.93
Mongolia,28117.12
Trinidad and Tobago,27216.18
Denmark,26772.91
Laos,26020.84
Syria,25594.86
Ghana,24163.79
Bolivia,23806.93
Jordan,23578.98
Cuba,22066.99
Bosnia and Herzegovina,21996.75
Kenya,21733.67
Guatemala,21349.41
Sudan and South Sudan,21273.31
Sri Lanka,20518.0
Tanzania,19373.46
Cambodia,17970.08
Nepal,17933.78
Croatia,17456.5
Lebanon,17332.05
Ethiopia,16707.69
Panama,14720.53
Ivory Coast,14412.45
Puerto Rico,13815.29
Lithuania,13114.62
Georgia,12863.6
Slovenia,12076.46
Senegal,12023.94
Zimbabwe,11744.05
Estonia,11436.37
Honduras,10945.76
Yemen,10898.84
Cameroon,10755.63
Kyrgyzstan,10463.99
Moldova,9928.22
Mozambique,9740.08
Brunei,9716.06
Tajikistan,9308.19
Uruguay,8817.28
North Macedonia,8763.66
Afghanistan,8707.35
Costa Rica,8573.34
El Salvador,8379.62
Paraguay,8253.94
Zambia,8058.98
Armenia,7725.14
Botswana,7424.7
Congo,7250.79
Uganda,7217.41
Cyprus,7183.3
Luxembourg,7007.46
Jamaica,6864.73
Mali,6660.68
Latvia,6551.1
Malawi,6447.68
Benin,6437.9
New Caledonia,6208.56
Burkina Faso,5999.25
Papua New Guinea,5951.82
Nicaragua,5725.29
Gabon,4926.9
Mauritania,4650.27
Albania,4591.83
Namibia,4364.59
Mauritius,4213.59
Madagascar,4099.12
Democratic Republic of the Congo,3799.54
Equatorial Guinea,3776.75
Guinea,3715.38
Haiti,3536.48
Guyana,3304.16
Iceland,3086.23
Macao,3012.36
Maldives,2876.31
Niger,2822.85
Suriname,2628.56
Chad,2571.41
Réunion,2570.71
Togo,2492.58
Curaçao,2434.14
Fiji,2210.54
Bhutan,1986.67
Malta,1684.62
Bahamas,1683.71
Rwanda,1645.97
Liberia,1636.89
Palau,1439.59
Eswatini,1390.16
French Polynesia,1258.99
Seychelles,1237.26
Guadeloupe,1167.14
Martinique,1091.37
Sierra Leone,1074.94
Cape Verde,1006.33
Lesotho,878.31
Somalia,868.15
Burundi,844.33
Barbados,796.21
Djibouti,749.2
Timor-Leste,702.89
Gibraltar,688.59
Eritrea,668.5
The Gambia,605.83
Greenland,582.22
Aruba,530.03
Samoa,468.45
Solomon Islands,418.85
French Guiana,381.63
Central African Republic,368.38
Cayman Islands,358.01
Bermuda,350.52
Guinea-Bissau,346.02
Antigua and Barbuda,323.11
Comoros,317.7
Saint Lucia,296.56
Vanuatu,287.3
Belize,278.45
Western Sahara,264.76
Tonga,220.0
São Tomé and Príncipe,214.08
Grenada,142.7
Cook Islands,142.21
Saint Kitts and Nevis,118.78
Turks and Caicos Islands,103.1
Kiribati,97.44
Saint Vincent and the Grenadines,96.29
Dominica,79.85
British Virgin Islands,75.29
Saint Pierre and Miquelon,40.11
Anguilla,22.96
Falkland Islands,19.45
"Saint Helena, Ascension and Tristan da Cunha",17.77
Faroe Islands,2.1
